P1001	applies to jurisdiction	the item (an institution, law, public office ...) belongs to or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	of jurisdiction, linked to jurisdiction, belongs to jurisdiction, jurisdiction, applies to jurisdiction,
P101	field of work	specialization of a person or organization, see P106 for the occupation	field of study, fields, discipline, subject, area, specialism, domain, academic discipline, scientific discipline, academic subject, academic area, scientific area,
P1013	criterion used	property by which a distinction or classification is made	basis, with respect to, by, on the basis of, according to, with reference to, respectively to,
P102	member of political party	the political party of which this politician is or has been a member	political party, party,
P1027	conferred by	person or organization who awards a prize to or bestows an honor upon a recipient	awarded by, bestowed by, given by, granted by, presented by,
P1028	donated by	person or organization who donated the object	
P1029	crew member	person that participated operating or serving aboard this vehicle	
P103	native language	language or languages a person has learned from birth	first language, mother tongue, language native,
P1037	manager/director	person who manages any kind of group	art director, manager, director,
P1038	relative	family member (qualify with "type of kinship", P1039; for direct family member please use specific property)	family, family member,
P1039	type of kinship	qualifier of "relative (P1038)" to indicate unusual family relationships (ancestor, son-in-law, adoptions, etc). Avoid using for relationships that can be derived from the family tree or have an explicit property (spouse, child, etc)	kinship, relationship (kinship), type of relationship,
P1040	film editor	Person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture	Edited by, editor,
P105	taxon rank	level in a taxonomic hierarchy	taxonomic rank, rank, type of taxon,
P1050	medical condition	disease or other health problem affecting an individual human or other animal	disability, ailment, health problem, disorder, illness, disease, paralympic disability,
P1056	product	material or product produced by a business, industry, facility, or process	material produced, produces, manufactures, makes, has product, produced,
P1057	chromosome	chromosome on which an entity is localized	on chromosome,
P106	occupation	occupation of a person; see also "field of work" (Property:P101), "position held" (Property:P39)	profession, job, work, career, employment, craft,
P1064	track gauge	spacing of the rails on a railway track	gauge,
P1066	student of	person who has taught this person	teacher, professor, pupil of, supervisor, academic supervisor, disciple of, studied under, master, mentor, advisor, tutor,
P1071	location of final assembly	place where the item was made; location of final assembly	assembly location, place built, place made,
P108	employer	organization for which the subject works or worked	workplace, employed by, works at, working for,
P1080	from fictional universe	subject's fictional entity is in the object narrative. See also P1441 and P1445	from universe, universe, featured in universe, appears in universe, fictional universe where entity is from, from mythology,
P110	illustrator	illustrator of a book	illustration by, illustrated by,
P112	founder	founder or co-founder of this organization, religion or place	founded by, is founded by, founded, co-founder, founders,
P113	airline hub	airport that serves as a hub for an airline	hub, hub airport,
P1142	political ideology	political ideology of this organization	ideology,
P115	home venue	home stadium or venue of a sports team or applicable performing arts organization	ground, home field, arena, home ground, stadium, ballpark, home water,
P118	league	league in which team plays or has played in	division, sports league,
P119	place of burial	location of grave, resting place, place of ash-scattering, etc, (e.g. town/city or cemetery) for a person or animal. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.	burial place, resting place, place of grave, buried in, grave at, location of burial, tomb,
P1192	connecting service	service stopping at a station	
P1196	manner of death	circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident	circumstance of death, type of death,
P1200	bodies of water basin category	the Wikimedia category associated with the basin of a bodies of water	category associated with the basin of the bodies of water, water system category,
P121	item operated	object used by the subject	fleet, aircraft in fleet, aircraft operated, equipment operated, facility operated, service operated, operator of, operated, operates, eq, item operated, acop, aircraft carried,
P122	basic form of government	the subject's government	type of government, form of government, government,
P123	publisher	organization responsible for publishing books, periodicals or software	book publisher, video game publisher, software publisher, publishing house, published by,
P126	maintained by	person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order	maintenance, administered by, maintainer, custodian, administrator,
P127	owned by	owner of the subject	is owned by, owner, belongs to, shareholder, stockholder,
P129	physically interacts with	physical entity that the subject interacts with	
P1303	instrument	instrument that a person plays	plays,
P1308	officeholder	person who holds an office	incumbent,
P1312	has facet polytope	facet of a polytope, in the next-lower dimension	facet of a polytope,
P1313	office held by head of government	political office that is fulfilled by the head of the government of this item	office of head of government, position of head of government, position held by head of government, title of head of government,
P1340	eye color	color of the irises of a person's eyes	eye colour,
P1344	participant of	event a person or an organization was a participant in, inverse of P710 or P1923	took part, took part in, participant in, participated in, competed in,
P1346	winner	winner of an event	won by, victor, champion, winners,
P135	movement	literary, artistic or philosophical movement associated with this person or work	school,
P136	genre	a creative work's genre or the genre in which an artist works. Use main subject (P921) to relate creative works to their topic	music genre, film genre, artistic genre, literary genre, kind of music,
P137	operator	person or organization that operates the equipment, facility, or service	service operator, facility operator, operated by, managed by, administrator, item operator, user,
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat	county seat of, county seat for,
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language)	eponym, named for, namesake, etymology, toponym, name after,
P1382	coincident with	object that is partially part of, but not fully part of (P361), the subject	partially overlaps, partial concurrency, concurrent with, partially in, concurrency,
P1383	contains settlement	settlement which an administrative division contains	
P1389	product certification	certification for a product, qualify with P1001 ("applies to jurisdiction") if needed	
P1399	convicted of	crime a person was convicted of	
P140	religion	religion of a person, organization or religious building. Note that a church is not a religion!	faith, religious affiliation, life stance, denomination,
P1403	original combination	for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published	protonym,
P1408	licensed to broadcast to	place that a radio/TV station is licensed/required to broadcast to	city of license, community of license,
P1411	nominated for	award nomination received by a person, organisation or creative work (inspired from "award received" (Property:P166))	nominee for, nomination received,
P1412	languages spoken, written or signed	language(s) that a person speaks or writes. Can include native languages	languages spoken, language spoken, language of expression, languages of expression, languages signed, language signed, language written, language read, language used, language,
P1416	affiliation	organization that a person is affiliated with	affiliated with,
P1427	start point	starting place of this journey, flight, voyage, trek, migration etc. (excl. spaceflight launch)	flight origin, start location, from, journey start, journey origin,
P1431	executive producer	executive producer of a movie or TV show	
P1433	published in	larger work that a given work was published in	work,
P1434	describes the fictional universe	the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe.	describes fictional universe, fictional universe described,
P1435	heritage status	heritage status of a historical site	designation, listing, listed status, protected status, protection, legal protection, heritage designation,
P144	based on	the work(s) used as basis for subject	fork of, derived from, extended from, copy of, adapted from, based upon,
P1441	present in work	work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information	from work, from narrative, featured in work, in work, in narrative, appears in, is shown in,
P1444	destination point	intended destination for this route (journey, flight, sailing, exploration, migration etc.)	destination, to, end of journey, finish, journey destination, ending at, stopping at,
P1445	fictional universe described in	to link a fictional universe with a work that describes it: <universe> "described in the work:" <work>	
P1454	legal form	legal form of an organization	type of business entity,
P1455	list of works	link to the article with the works of a person	bibliography,
P1456	list of monuments	link to the list of heritage monuments in the place/area	
P1462	standards body	organisation that published or maintains the standard	standards organisation, standards setting organization, standards setting organisation, standards developing organization, standards developing organisation,
P149	architectural style	architectural style of a structure	
P1532	country for sport	country a person or a team represents when playing a sport	sporting nationality, sports nationality,
P1533	family name identical to this first name	last name that is the same as a given first name. Use on items for given names.	related surname, related family name,
P1542	cause of	effect of this cause	has effect, effect, has result, result, has outcome, outcome, has symptom, consequence,
P157	killed by	person who killed the subject	killer, assassin, murderer, murdered by, executioner, assassinated by, slain by, mortally wounded by, executed by, slaughtered by,
P1576	lifestyle	typical way of life of an individual, group, or culture	
P159	headquarters location	specific location where an organization's HQ is or has been situated	head office location, HQ, garrison, admin HQ, seat, principle office,
P16	highway system	system (or specific country specific road type) of which the highway is a part	network of routes, system of routes, transport network, routes system, part of network, road type,
P161	cast member	actor performing live for a camera or audience [use "character role" (P453) as qualifier] [use "voice actor" (P725) for voice-only role]	starring, film starring, actor, actress,
P162	producer	producer(s) of this film or music work (film: not executive producers, associate producers, etc.)	record producer, film producer,
P163	flag	subject's flag	flag description,
P166	award received	award or recognition received by a person, organisation or creative work	prize received, awards, honorary title, recognition title, award, honours, honors, medals, awarded, award won, prize awarded, awards received, win,
P1686	for work	qualifier of award received (P166) to specify the work that an award was given to the creator for	for their work on, nominated for work, awarded for work,
P169	chief executive officer	highest-ranking corporate officer appointed as the CEO within an organization	CEO, chief executive, ceo,
P17	country	sovereign state of this item	sovereign state, nation, state, land,
P170	creator	maker of a creative work or other object (where no more specific property exists)	artist (non-musical), created by, painter, sculptor,
P171	parent taxon	parent taxon of the taxon in question	taxon parent, higher taxon,
